0	Gene Signature
MutLalpha complex (GO:0032389)	['PMS2P11', 'WRN', 'MLH1', 'PMS2P5', 'PMS2P3', 'PMS2P2', 'PMS2P1', 'PMS2', 'PMS1', 'Na']
IPAF inflammasome complex (GO:0072557)	['CASP12', 'CASP4', 'CASP5', 'CARD18', 'NLRC4', 'CASP1', 'Na']
lysosomal membrane (GO:0005765)	['STARD3', 'SLC12A4', 'EGF', 'ATP6V1E1', 'AP1S1', 'ANKFY1', 'AP1B1', 'MYO7A', 'CTNS', 'LNPEP', 'MFSD12', 'ZFYVE26', 'GDAP2', 'RRAGB', 'ZFYVE16', 'RRAGA', 'OSTM1', 'TMEM79', 'WDR81', 'PI4K2B', 'TECPR1', 'PI4K2A', 'Na', 'ENPEP', 'TMEM63A', 'ATP6V0D1', 'LRP2', 'ZFYVE9', 'AHNAK', 'NPRL2', 'LRP1', 'NPRL3', 'C3AR1', 'HM13', 'PRCP', 'VTI1B', 'STOM', 'CPNE1', 'AP2S1', 'VPS11', 'CPNE3', 'RILP', 'VPS16', 'NCSTN', 'VPS18', 'ABCA2', 'GPLD1', 'WDR59', 'HLA-DRB5', 'STK11IP', 'SURF4', 'SLC11A2', 'ABCA5', 'TMEM192', 'VASN', 'VNN1', 'VAMP7', 'VAMP8', 'MYLPF', 'HLA-DRB4', 'HLA-DRB3', 'ATP6V1B2', 'CFTR', 'HLA-DRB1', 'SPAAR', 'MGST1', 'WDR41', 'ABCA13', 'TRPM2', 'BLOC1S1', 'ANPEP', 'AP1S3', 'ATP6V0A4', 'AP1S2', 'ATP6V1C1', 'TMEM8A', 'ATP6V0A1', 'ATP6V1C2', 'ATP6V0A2', 'TMEM150C', 'SEC13', 'ANXA2', 'SPHK2', 'ANXA6', 'NFAM1', 'AZU1', 'AP3B1', 'CP', 'TMEM175', 'ITFG2', 'BST2', 'ABCC10', 'PQLC2', 'CEACAM8', 'CEACAM6', 'HLA-DQB1', 'TLR9', 'TLR8', 'CYB561', 'TLR7', 'DEPDC5', 'TMEM106B', 'RAB7A', 'TLR3', 'HLA-DQB2', 'RAB5C', 'SLC44A2', 'SLC35F6', 'CLTC', 'FPR1', 'CLTA', 'PCSK9', 'LITAF', 'WDR24', 'VLDLR', 'TMEM165', 'RAP1B', 'MAGT1', 'MYO6', 'RNF152', 'MIOS', 'AP1M1', 'HLA-DQA2', 'AP1M2', 'UBXN6', 'HLA-DQA1', 'ATP6V1G1', 'STARD3NL', 'GAA', 'AP2B1', 'AP3D1', 'GPR143', 'SLCO4C1', 'LAMTOR1', 'HLA-DPB1', 'LAMTOR3', 'GOPC', 'LAMTOR2', 'ATP6V0D2', 'LAMTOR5', 'LAMTOR4', 'SLC29A3', 'CD63', 'GBA', 'PIGR', 'LPCAT1', 'AP2A2', 'AP2A1', 'GNAI1', 'SPPL3', 'GNAI3', 'RPTOR', 'HLA-DMB', 'TMEM44', 'ENPP1', 'HLA-DPA1', 'TLDC1', 'HLA-DMA', 'SLC17A5', 'BORCS5', 'CD74', 'RAB2A', 'SZT2', 'SPNS3', 'CYBRD1', 'ATP11C', 'ATP11B', 'ATP11A', 'AP5B1', 'EEF1A2', 'EEF1A1', 'RAB37', 'SIDT2', 'SPNS2', 'ARL8A', 'SPNS1', 'PHIP', 'CD68', 'ARL8B', 'OCA2', 'HFE', 'NAPG', 'LAPTM4B', 'LAPTM4A', 'LAMP2', 'LAMP1', 'STX7', 'SLC26A11', 'HLA-DOB', 'LDLR', 'AP3M1', 'HLA-DOA', 'NSF', 'ATP6V0C', 'MANBA', 'SLC15A3', 'CYB561A3', 'DNAJC13', 'SLC30A2', 'HPS6', 'CKAP4', 'DDOST', 'GNB1', 'RHEB', 'COL6A1', 'GNB2', 'GNAQ', 'GNB4', 'UBA1', 'RAB3D', 'ATP6V1A', 'ATP6V1D', 'ATP8A1', 'BRI3', 'SPPL2C', 'SPPL2B', 'SPPL2A', 'CLEC16A', 'PSEN1', 'PSEN2', 'SLC2A8', 'RAB44', 'GLIPR1', 'TOM1', 'TMEM179B', 'FLOT1', 'SLC38A9', 'SLC15A4', 'ATP6V1H', 'AP2M1', 'HGSNAT', 'ATP13A2', 'HSPA8', 'CMTM6', 'NDUFC2', 'NPC1', 'TPCN1', 'TPCN2', 'TMBIM1', 'CLCN7', 'CLCN6', 'MARCH1', 'CLCN5', 'DAB2', 'DNAJC5', 'HLA-DRA', 'B4GALT1', 'PLEKHF1', 'SEH1L', 'SLC48A1', 'DAGLB', 'TGFBRAP1', 'ABCB9', 'PLD1', 'DPP4', 'SYNGR1', 'MFSD8', 'PSAP', 'RDH14', 'SNAP29', 'SLC36A1', 'TMEM30A', 'VPS33A', 'MCOLN2', 'MCOLN3', 'TM6SF1', 'MTOR', 'MCOLN1', 'LMBRD1', 'VAPA', 'P2RX4', 'VPS41', 'RAB14', 'CDIP1', 'UBA52', 'ACPP', 'SCARB2', 'RNF13', 'ABCD4', 'TCIRG1', 'ECE1', 'LRMP', 'CLN5', 'CLN3', 'AP1G1', 'GNA11', 'ARRB1', 'VPS35', 'TRIM23', 'SPG11', 'SCARB1', 'VPS39']
insulin-responsive compartment (GO:0032593)	['RAB4B', 'RAB10', 'DENND4C', 'RAB13', 'MYO5A', 'SLC2A4', 'RAB4A', 'Na']
large ribosomal subunit (GO:0015934)	['RPL22', 'COA1', 'RPL21', 'RPL36A-HNRNPH2', 'RPL24', 'RPL23', 'RPL13A', 'RPL17-C18ORF32', 'MRTO4', 'RPL7L1', 'RPL37A', 'RPL26', 'RPL28', 'RPL22L1', 'RPL27', 'RPL29', 'RPL13AP3', 'NHP2', 'RPL26L1', 'Na', 'RPL11', 'RPL10', 'RPLP0P6', 'RPL13', 'RPL12', 'SNU13', 'FXR2', 'RPL39P5', 'RPL36AL', 'RPL36A', 'RPL15', 'RPL14', 'RPL17', 'RPL19', 'ZNF622', 'RPL18', 'RPL41', 'SURF6', 'RPL35A', 'RPL23A', 'RPL39L', 'RPL3L', 'RSL1D1', 'MRPL10', 'RPL27A', 'GEMIN5', 'RSL24D1', 'RPL5', 'RPL6', 'RPL31', 'RPL3', 'RPL4', 'RPL30', 'RPLP0', 'RPL32', 'RPL35', 'RPLP2', 'RPL10L', 'RPL34', 'RPLP1', 'MRPL17', 'RPL10A', 'RPL9', 'MRPL1', 'RPL7', 'RPL8', 'RPL18A', 'RBM3', 'RPL37', 'RPL36', 'RPL39', 'RPL38', 'RPL7A']
secretory vesicle (GO:0099503)	['RAB3D', 'UNC13D', 'DOC2B', 'DOC2A', 'SYTL2', 'RAB27A', 'SYTL1', 'IGF1', 'SYTL5', 'NKD2', 'SYTL4', 'SYTL3', 'RAB10', 'DPYSL3', 'SYT10', 'DYNLT1', 'Na']
primary lysosome (GO:0005766)	['HEXA', 'STXBP2', 'SNAP23', 'HEXB', 'STX7', 'DEFA4', 'ANXA11', 'MPO', 'AZU1', 'STX3', 'Na']
cytoplasmic vesicle lumen (GO:0060205)	['GSN', 'AGL', 'DEFA5', 'GCG', 'HUWE1', 'MAPK14', 'EEF1A1', 'PPIA', 'CRISPLD2', 'PSMC2', 'PSMC3', 'SCG3', 'S100A9', 'PPIE', 'CDA', 'GHDC', 'S100A8', 'FCN1', 'Na', 'CYFIP1', 'PDXK', 'ROCK1', 'EPX', 'HSP90B1', 'PNP', 'ARHGAP45', 'PYCARD', 'PSMD7', 'PSMD6', 'PSMD3', 'ALOX5', 'COTL1', 'PSMD2', 'OSTF1', 'S100A12', 'S100A11', 'IDH1', 'XRCC5', 'XRCC6', 'MIF', 'ARPC5', 'EEF2', 'NFKB1', 'BACE1', 'BIN2', 'CSNK2B', 'HYOU1', 'VCL', 'CFD', 'SPARC', 'VCP', 'ARHGAP9', 'GMFG', 'A1BG', 'SRP14', 'HPX', 'C3', 'HSPH1', 'PRDX4', 'COMMD9', 'APOE', 'GYG1', 'ATG7', 'APOB', 'HSP90AA1', 'HSPA6', 'APAF1', 'HSPA8', 'HBA1', 'AMPD3', 'NME2', 'DERA', 'TF', 'APOA1', 'SCGB3A2', 'SERPINI1', 'ALDOC', 'CALR', 'ALDOA', 'GPI', 'PAFAH1B2', 'PSMD11', 'SERPINA3', 'PCSK2', 'PSMD13', 'DDX3X', 'PCSK1', 'PSMD12', 'PSMD14', 'HBB', 'DBH', 'HMGB1', 'HK3', 'ACTR1B', 'ALAD', 'CTSH', 'DBNL', 'AHSG', 'PGAM1', 'SERPINB1', 'GIP', 'APRT', 'PKM', 'FGR', 'POMC', 'PSMA5', 'PFKL', 'CAT', 'IMPDH1', 'PSMA2', 'DLC1', 'IMPDH2', 'S100P', 'GHRL', 'SAA1', 'DYNLT1', 'CSTB', 'GDI2', 'HSP90AB1', 'GRP', 'MVP', 'CAB39', 'GSTP1', 'PYGL', 'INS', 'PSMB7', 'CAND1', 'PSMB1', 'CCT8', 'PGM2']
synaptonemal complex (GO:0000795)	['FAM9A', 'UBE2I', 'FAM9C', 'MLH1', 'FAM9B', 'TEX11', 'TEX12', 'P3H4', 'MLH3', 'CCNB1IP1', 'RAD51', 'STAG3', 'MSH4', 'MSH5', 'C14ORF39', 'FKBP6', 'Na', 'BLM', 'SYCP3', 'SYCP2', 'SYCP1', 'MEI4', 'BRCA1', 'BRCA2', 'RNF212', 'SYCE3', 'SYCE2', 'RNF212B', 'SYCE1']
early endosome membrane (GO:0031901)	['ANXA1', 'CAV1', 'DKK1', 'RUFY1', 'MARCH1', 'RABEP1', 'ZFYVE16', 'RAB31', 'SLC9A6', 'PIKFYVE', 'WDR81', 'CD207', 'EPHA4', 'Na', 'RAB5C', 'MTMR4', 'ZFYVE9', 'HFE', 'LRP6', 'LITAF', 'TMEM163', 'EGFR', 'GGA1', 'GGA3', 'SNX4', 'GGA2', 'SNX5', 'LAMP5', 'SNX3', 'RAB21', 'SNX1', 'VTI1B', 'SYNDIG1', 'BOK', 'B2M', 'WLS', 'SNX8', 'KCNH1', 'SNX6', 'UBXN6', 'TMEM184A', 'WNT3A', 'FZD5', 'VPS33B', 'KREMEN2', 'HLA-C', 'DNAJC13', 'NSG1', 'HLA-A', 'HLA-B', 'SNX20', 'HLA-G', 'SNX21', 'HLA-E', 'EHD1', 'FIG4', 'HLA-F', 'CLIP3', 'TBC1D3', 'CD8B', 'RAB14', 'LLGL1', 'RAB5A', 'RAB5B', 'VAC14', 'ZFYVE28', 'FCGR1A', 'PMEPA1', 'RABGEF1', 'WDR91', 'INPP5F', 'EPHB1', 'FCGR1B', 'RAB4A']
cis-Golgi network (GO:0005801)	['GOLGA8T', 'GOLGA8S', 'GBF1', 'B3GAT3', 'SLC35C2', 'GOLGA8K', 'GOLGA8N', 'GOLGA8M', 'RAB30', 'GOLGA8O', 'COPZ2', 'GOLGA2P5', 'AZIN2', 'GOLGA8R', 'GOLGA8Q', 'GOLGA6B', 'IFT20', 'GOLGA6A', 'BCL9', 'TRAPPC6B', 'GOLGA6D', 'GOLGA8F', 'TRAPPC6A', 'GOLGA8DP', 'GOLGA6C', 'HOOK3', 'GOLGA8H', 'GOLGA8J', 'ANGEL1', 'MPPE1', 'GOLGA8B', 'RETREG1', 'GOLGA8A', 'Na', 'TMED10', 'GOSR1', 'AKAP9', 'LRPAP1', 'GOLIM4', 'GOLGA8CP', 'GOLGA5', 'SCFD1', 'GOLGA8IP', 'GOLGA2', 'RAB29', 'SCYL1', 'FKTN', 'TMED5']
cell cortex region (GO:0099738)	['GPSM2', 'ANLN', 'EPB41', 'EPB41L2', 'NUMA1', 'CTSZ', 'ENO1', 'DCTN1', 'GNAI1', 'ACTR1A', 'MYL12B', 'Na']
cell cortex part (GO:0044448)	['GSN', 'SEPT10', 'SEPT11', 'SEPT12', 'TRPC4', 'SEPT1', 'SEPT2', 'TMEM250', 'SELE', 'SEPT14', 'SEPT5', 'SEPT6', 'SEPT3', 'SEPT4', 'ANLN', 'STIM1', 'DLG4', 'CTTN', 'ASPH', 'NSMF', 'C2CD2L', 'EZR', 'DBN1', 'Na', 'GPSM2', 'SPTBN4', 'SPTBN5', 'EPB41', 'GYPC', 'NUMA1', 'CTSZ', 'SLC4A1', 'ENO1', 'DCTN1', 'GNAI1', 'ACTR1A', 'MYL12B', 'SEPT9', 'SEPT7', 'SEPT8', 'ARV1', 'EPB41L2', 'EMD', 'SPTAN1', 'SPTBN2']
axonemal dynein complex (GO:0005858)	['DNAH5', 'DNAH2', 'DNAH3', 'DNAH8', 'DNAH17', 'CCDC114', 'DNAH7', 'DNHD1', 'WDR78', 'NME8', 'DYNLRB1', 'DNAL1', 'DYNLRB2', 'DNAI1', 'DNAH1', 'DNAI2', 'Na']
