0	Gene Signature
Antiviral Signaling through Pattern Recognition Receptors	['DDX58', 'IRAK4', 'TRAF3', 'TICAM2', 'NFKB1', 'TICAM1', 'TLR2', 'MYD88', 'MAVS', 'IRF3', 'TRAF6', 'TLR8', 'IRF7', 'TLR7', 'TLR4', 'TLR3', 'IFNA1', 'TNF', 'IFIH1', 'IKBKB', 'TBK1', 'IRAK1', 'IFNB1', 'MAP3K7', 'IKBKE', 'Na']
Apoptosis of Cochlear Hair Cells (Noise-Induced, Mouse Model)	['RHOA', 'ENDOG', 'GSTM1', 'RDX', 'ROCK2', 'BAD', 'MSN', 'STAT3', 'GSTP1', 'UCP2', 'GSTT1', 'SOD2', 'DIAPH1', 'DUOX2', 'AIFM1', 'NOX4', 'BAK1', 'RAC1', 'EZR', 'NOX1', 'TP53', 'JAK2', 'NOX3', 'OGDH', 'Na']
Autophagic-Lysosomal System Decline Associated with Aging	['RUBCN', 'XBP1', 'EDEM1', 'HSPA5', 'HSPA8', 'WIPI1', 'SIRT1', 'ATG14', 'MTOR', 'ATG13', 'ATG12', 'ERN1', 'ATG16L1', 'DNAJC10', 'HSPA1A', 'ULK2', 'PIK3C3', 'ULK1', 'ATF6', 'BECN1', 'RB1CC1', 'AMBRA1', 'FOXO3', 'MAP1LC3A', 'MAP1LC3B', 'LAMP2', 'ATG101', 'ATG7', 'ATG5', 'Na']
AXL Receptor Inhibits Macrophages and Dendritic Cells Function	['MAP2K4', 'JUN', 'MAP2K3', 'STAT1', 'FOS', 'TIRAP', 'IRAK4', 'TICAM2', 'TYK2', 'TICAM1', 'MYD88', 'NFKBIA', 'IL6', 'AXL', 'IRF5', 'IRF3', 'TRAF6', 'TLR9', 'IRF7', 'GAS6', 'IFNAR1', 'TLR4', 'IFNAR2', 'TLR3', 'IFNA1', 'PROS1', 'TNF', 'SOCS3', 'IKBKB', 'SOCS1', 'MAPK8', 'TBK1', 'IRAK1', 'IL12B', 'MAPK1', 'IL12A', 'CD14', 'MAP3K7', 'IKBKE', 'JAK1', 'MAP3K5', 'Na']
Basophil Activation	['LYN', 'MAP3K1', 'BAD', 'IL13', 'GAB2', 'IRAK4', 'IL18', 'VAV1', 'IL3', 'MAPK14', 'TLR2', 'IL4', 'LAT2', 'NFKBIA', 'SP1', 'IL6', 'IL3RA', 'HSPA1A', 'IGHE', 'IGHD', 'LCP2', 'MS4A2', 'CRLF2', 'IL18R1', 'LAT', 'RAF1', 'SOS1', 'CD40', 'CD80', 'IQGAP1', 'TNF', 'ITPR1', 'PAK1', 'HRH4', 'IRAK1', 'AKT1', 'BLNK', 'GRAP2', 'FCER1A', 'FCER1G', 'MAP3K7', 'MAP3K5', 'IL33', 'MAP2K4', 'STAT1', 'MAP2K1', 'SYK', 'TSLP', 'PDPK1', 'STAT3', 'F2', 'CDC42', 'IL17RB', 'MYD88', 'TRAF6', 'BTK', 'GRB2', 'PLCB1', 'C5AR1', 'SERPINC1', 'HDC', 'IL25', 'GNAI1', 'IL1RL1', 'C5', 'GNA15', 'IL18RAP', 'MAPK8', 'PIM1', 'PLCG1', 'RAC1', 'PLCG2', 'IKBKG', 'JAK1', 'MAP2K6', 'NCK1', 'JAK2', 'MAP2K7', 'STAT5A', 'Na']
BDKRB1/2 -> Interleukins Production	['CXCL8', 'IL10', 'PDPK1', 'ITGAM', 'GNAI1', 'GNAI2', 'GNAI3', 'KNG1', 'NFKBIA', 'IL6', 'BDKRB1', 'GNA12', 'GNA13', 'GNAQ', 'AKT1', 'BDKRB2', 'GNAS', 'Na']
BDKRB1/2 -> Ion Channels	['TRPA1', 'TRPV1', 'GNAI1', 'GNAI2', 'GNAI3', 'ITPR1', 'KNG1', 'GNA11', 'GNA12', 'BDKRB1', 'GNA13', 'GNAQ', 'GNAS', 'TRPC1', 'BDKRB2', 'PLCB1', 'Na']
BDKRB1/2 -> Prostaglandin Generation	['MAP2K2', 'MAP3K1', 'MAP2K3', 'MAP2K1', 'PLA2G4A', 'MAPK14', 'GNAQ', 'GNAS', 'PLCB1', 'RAF1', 'RASGRF1', 'GNAI1', 'GNAI2', 'GNAI3', 'ITPR1', 'KNG1', 'RASGRP1', 'GNA11', 'GNA12', 'BDKRB1', 'GNA13', 'MAPK3', 'BDKRB2', 'MAPK1', 'MAP2K6', 'PTGDS', 'Na']
BDKRB1/2 -> Vasodilation	['NOS3', 'PDPK1', 'GNAI1', 'GNAI2', 'GNAI3', 'KNG1', 'GNA12', 'BDKRB1', 'GNA13', 'GNAQ', 'AKT1', 'GNAS', 'BDKRB2', 'Na']
Bradykinin Effects in Inflammation	['ACE', 'MAP3K1', 'MAP2K3', 'IL1R1', 'NOS3', 'F11', 'MMP1', 'PDPK1', 'F12', 'PLAUR', 'AGT', 'MAPK14', 'IL1A', 'IL1B', 'NFKBIA', 'XPNPEP2', 'GNAQ', 'AGTR1', 'PRKCQ', 'KLKB1', 'PLCB3', 'PTGES', 'CPM', 'PLCB1', 'KLK1', 'PLAU', 'IL1RAP', 'PLAT', 'PLG', 'ITPR1', 'KNG1', 'CPN1', 'GNA11', 'BDKRB1', 'AKT1', 'BDKRB2', 'RAC1', 'NOS2', 'MAP2K6', 'Na']
Ca2+ Flux Regulation	['CHRNB2', 'TRPV1', 'GRIN2C', 'GRIN1', 'GRIN3A', 'GRIN3B', 'CHRM3', 'CHRNA4', 'CHRM1', 'CHRM5', 'CHRNA7', 'ADORA3', 'ADRA2C', 'ADRA2A', 'GDNF', 'GNAQ', 'PRKD1', 'GNAS', 'GRIA2', 'PTGFR', 'GRIA3', 'CRHR1', 'CALCRL', 'GRIA1', 'IRS1', 'CALCA', 'CACNA1C', 'CACNA1B', 'CACNA1E', 'GRIN2B', 'GRIN2A', 'PLCG1', 'GRIA4', 'EDN1', 'GABBR2', 'EDN3', 'GABBR1', 'HTR1F', 'BDNF', 'HTR1D', 'HTR1E', 'HTR1B', 'TACR1', 'HTR1A', 'ARTN', 'GNAO1', 'RET', 'SHC1', 'HTR2C', 'HTR2A', 'ADRB2', 'HTR2B', 'ADRA1D', 'OPRL1', 'ADRA1B', 'ADRA1A', 'ITPR1', 'HRH2', 'P2RY6', 'HRH1', 'HRH4', 'HRH3', 'P2RY4', 'BDKRB1', 'P2RY2', 'P2RY1', 'BDKRB2', 'DRD2', 'DRD4', 'P2RY13', 'NTRK2', 'P2RY14', 'P2RY11', 'P2RY12', 'NTRK1', 'PTGIR', 'PDPK1', 'OPRK1', 'GFRA1', 'NGF', 'HTR3A', 'P2RX7', 'P2RX5', 'P2RX4', 'P2RX3', 'P2RX2', 'P2RX1', 'CRH', 'RAMP1', 'PLCB1', 'SRC', 'PTGER1', 'PTGER2', 'PTGER3', 'CAMK2A', 'GNAI1', 'GNAI2', 'GNAI3', 'GRM1', 'AKAP13', 'GNA15', 'EDNRA', 'EDNRB', 'GRM5', 'GNA11', 'CNR1', 'GNA12', 'GNA13', 'PTK2B', 'Na']
Catecholamines Secretion from Adrenal Gland	['CHGB', 'CHGA', 'SNAPIN', 'UNC13B', 'TRPV4', 'TRPV1', 'AGT', 'SLC7A5', 'RHOQ', 'TH', 'AGTR1', 'SCG2', 'STX1A', 'SNAP25', 'CHRM3', 'STXBP1', 'RASGRF1', 'SNAP23', 'NAPA', 'STXBP3', 'DBH', 'IQGAP1', 'ITPR1', 'KIF5B', 'SLC18A2', 'NSF', 'SYT1', 'RAB3IP', 'RAB11A', 'CDC42', 'CREB1', 'VAMP8', 'CLIP1', 'RAB10', 'RAB13', 'GNAQ', 'GNAS', 'VAMP2', 'RAB5A', 'VAMP3', 'ARF6', 'PLCB1', 'PNMT', 'CPLX1', 'RAB3A', 'DDC', 'CACNA1C', 'CACNA1D', 'CACNA1H', 'KIF3B', 'KIF3A', 'RAB8A', 'KIFAP3', 'KCNJ3', 'Na']
CC Chemokine Receptor Signaling	['CCL26', 'CCR2', 'CCL25', 'RHOA', 'CCR1', 'CCL24', 'CCL23', 'LIMK1', 'CCL22', 'CCL21', 'CCL20', 'LIMK2', 'VAV1', 'VAV2', 'VAV3', 'NFKBIA', 'NCF1', 'ITK', 'CCL28', 'RAF1', 'BCAR1', 'SOS1', 'CCL27', 'ROCK1', 'SHC1', 'ROCK2', 'FOXO3', 'ITPR1', 'RAP1A', 'PAK1', 'PREX1', 'AKT1', 'CCR9', 'CCR8', 'CCR7', 'CCR6', 'CCR5', 'MAP3K8', 'CCR4', 'CCR3', 'STAT5B', 'EGR1', 'MAP2K2', 'PRKCD', 'STAT1', 'MAP2K1', 'PDPK1', 'STAT3', 'PARD3', 'PRKCB', 'TIAM1', 'CDC42', 'PTK2', 'CREB1', 'PRKCZ', 'CRK', 'GRB2', 'MAP3K14', 'PLCB1', 'CCL15', 'CCL14', 'SRC', 'CCL13', 'PXN', 'CCL11', 'WAS', 'RASGRP2', 'GNAI1', 'GNA14', 'GNA15', 'CCL8', 'CCL7', 'CCL5', 'MAPK3', 'CCL4', 'PTK2B', 'CCL3', 'RAC1', 'CCL2', 'MAPK1', 'CCL1', 'CCL19', 'JAK1', 'CCL17', 'STAT5A', 'CCR10', 'JAK2', 'CCL16', 'Na']
CCKBR -> Neurotransmitter Uptake	['CCKBR', 'GNAQ', 'SLC6A12', 'CCK', 'GAST', 'SLC6A3', 'PLCB1', 'ITPR1', 'Na']
CCR1 Expression Targets	['CCR1', 'IL10', 'CCL23', 'STAT1', 'MMP1', 'MMP2', 'STAT3', 'MMP9', 'VEGFA', 'CXCL10', 'CXCL11', 'CCL15', 'CCL14', 'CCL13', 'CXCL9', 'TNF', 'ICAM1', 'PTGS2', 'CCL8', 'CCL7', 'CCL5', 'CCL4', 'CCL3', 'CCL2', 'NOS2', 'JAK1', 'CCL16', 'Na']
CD16/CD14 Proinflammatory Monocyte Activation	['TGFB1', 'LYN', 'MAP3K1', 'IL10', 'JUN', 'IRAK4', 'VCAM1', 'TICAM2', 'TICAM1', 'VAV2', 'NFKBIA', 'CXCL12', 'FCGR2A', 'CXCL13', 'CD4', 'IRF5', 'PECAM1', 'TLR4', 'RAF1', 'LAT', 'SOS1', 'SHC1', 'RASGRF1', 'CSF2', 'CSF1', 'TNF', 'CX3CL1', 'ITPR1', 'SPN', 'FCGR3A', 'FCGR3B', 'PAK1', 'IRAK1', 'MAP3K7', 'MAP2K2', 'STAT1', 'SYK', 'MAP2K1', 'PDPK1', 'STAT3', 'FOS', 'TIRAP', 'TRAF3', 'SELE', 'MYD88', 'ZAP70', 'TRAF6', 'GRB2', 'CSF1R', 'SRC', 'CX3CR1', 'CXCR5', 'CSF2RA', 'GNAI1', 'CBL', 'CXCR4', 'MAPK3', 'ITGAX', 'PLCG1', 'RAC1', 'IL12B', 'MAPK1', 'CD14', 'JAK3', 'IKBKG', 'JAK1', 'JAK2', 'Na']
CD8+ T-Cell Activation	['JUN', 'TYK2', 'IL2', 'IL5', 'IL4', 'NFKBIA', 'IFNG', 'CD28', 'CD247', 'RAF1', 'LAT', 'SOS1', 'CD86', 'TRB', 'TRA', 'CD80', 'CD3G', 'IL2RG', 'CD3E', 'CD3D', 'ITPR1', 'TBX21', 'AKT1', 'FCER1G', 'MAP3K7', 'IL12RB2', 'IL12RB1', 'MAP3K8', 'CARD11', 'MAP2K2', 'STAT1', 'MAP2K1', 'PDPK1', 'GZMB', 'STAT4', 'GZMA', 'FOS', 'ZAP70', 'LCK', 'IL2RA', 'CD8A', 'IL2RB', 'TRAF6', 'LTA', 'PRKCQ', 'GRB2', 'MAP3K14', 'BCL10', 'PRF1', 'FASLG', 'ITGAL', 'MALT1', 'MAPK3', 'PTK2B', 'PLCG1', 'IL12B', 'MAPK1', 'IL12A', 'JAK3', 'JAK1', 'STAT5A', 'JAK2', 'Na']
CGRP -> Calcium Influx	['AKAP13', 'PRKCH', 'CALCRL', 'CALCA', 'PRKD1', 'GNAS', 'NOS1', 'TRPV1', 'RAMP1', 'Na']
CHRM1 -> IL2 Production	['RHOA', 'MAP2K2', 'MAP3K1', 'MAP2K3', 'JUN', 'MAP2K1', 'PDPK1', 'BRAF', 'IL2', 'MAPK14', 'CREB1', 'MAPKAPK2', 'MAPKAPK3', 'GRB2', 'SOS1', 'SRC', 'CHRM1', 'SHC1', 'RASGRF1', 'EGFR', 'GNAI2', 'ITPR1', 'RPS6KA5', 'RASGRP1', 'RAP1A', 'MAPK3', 'PTK2B', 'MAPK1', 'MAP2K6', 'Na']
CHRM1/2/3 -> Vascular Motility	['PPP1R14A', 'CHRM3', 'MAP2K2', 'CHRM1', 'CHRM2', 'NOS3', 'RASGRF1', 'MAP2K1', 'CACNA1B', 'GNAI2', 'MYLK', 'ITPR1', 'ACTA2', 'RASGRP1', 'CALD1', 'GNA11', 'GNAQ', 'MAPK3', 'MAPK1', 'MYL9', 'PLCB1', 'RAF1', 'Na']
CHRM1/2/3/5 -> Ion Channels	['KCNJ5', 'CHRM3', 'CHRM1', 'CHRM2', 'KCNJ11', 'KCNC1', 'KCNK9', 'PDPK1', 'CHRM5', 'CAMK2A', 'CACNA1C', 'CACNA1E', 'TRPV1', 'GNAI2', 'ITPR1', 'GNA11', 'GNAQ', 'KCNJ1', 'KCNK3', 'KCNJ2', 'KCNJ3', 'KCNH2', 'PLCB1', 'KCNJ4', 'Na']
CHRNA3-B4/A4-B2/A7 -> Ion Transport	['APP', 'CHRNB2', 'CHRNA4', 'CHRNA3', 'CHRNB4', 'CHRNA7', 'Na']
CHRNA7 -> IL8 Production	['APP', 'CXCL8', 'STAT3', 'CHRNA7', 'JAK2', 'Na']
CHRNA7 -> NOS1 Production	['APP', 'MAP2K2', 'MAP2K1', 'CHRNA7', 'BRAF', 'PTK2', 'ADCY6', 'CREB1', 'RASGRP1', 'RAP1A', 'MAPK3', 'NOS1', 'MAPK1', 'KRAS', 'FYN', 'GRB2', 'SOS1', 'Na']
Circadian Clock and Sleep Regulation by Melatonin	['NR1D1', 'CSNK1E', 'RORB', 'NR1D2', 'NPAS2', 'GNAI1', 'RORA', 'ARNTL', 'ITPR1', 'PER3', 'PER2', 'CREB1', 'MTNR1A', 'CSNK1D', 'PER1', 'BHLHE41', 'CRY2', 'CRY1', 'CLOCK', 'Na']
Circadian Clock Genes in Suprachiasmatic Nuclei Neurons	['NGFR', 'MAP2K4', 'MAP2K2', 'MAP3K1', 'MAP2K3', 'MAP2K1', 'BDNF', 'CSNK1E', 'TRAF2', 'NGF', 'MAPK14', 'PER3', 'ADCYAP1', 'PER2', 'CREB1', 'MTNR1B', 'MTNR1A', 'PER1', 'TRAF6', 'GNAQ', 'CRY2', 'GNAS', 'CRY1', 'CLOCK', 'PLCB1', 'VIPR1', 'TRADD', 'RORB', 'GNAI1', 'RORA', 'ARNTL', 'ITPR1', 'MAPK8', 'CSNK1D', 'MAPK3', 'NOS1', 'MAPK1', 'MAP3K5', 'KCNJ3', 'MAP2K6', 'MAP2K7', 'Na']
Circadian Clock Genes Mutations Cause Insomnia	['NR1D1', 'CSNK1E', 'RORB', 'NR1D2', 'GNAI1', 'NPAS2', 'RORA', 'ARNTL', 'ITPR1', 'PER3', 'PER2', 'CREB1', 'MTNR1A', 'CSNK1D', 'PER1', 'BHLHE41', 'CRY2', 'CRY1', 'CLOCK', 'Na']
Circadian Clock in Sleep Regulation	['NR1D1', 'CSNK1E', 'HIF1A', 'NPAS2', 'RORA', 'ARNTL', 'GRM1', 'ITPR1', 'PER3', 'PER2', 'GRM5', 'CSNK1D', 'BHLHE40', 'PER1', 'BHLHE41', 'GNAQ', 'CRY2', 'CRY1', 'CLOCK', 'Na']
CNR1/2 -> IL1B/2/4/6/10 Production	['MAP2K4', 'RHOA', 'MAP2K2', 'MAP3K1', 'IL10', 'JUN', 'MAP2K3', 'MAP2K1', 'PDPK1', 'FOS', 'BRAF', 'IL2', 'MAPK14', 'IL1B', 'IL4', 'CREB1', 'IL6', 'MAPK10', 'MAPKAPK2', 'MAPKAPK3', 'RASGRF1', 'SRF', 'ELK1', 'GNAI1', 'GNAI2', 'GNAI3', 'ITPR1', 'RPS6KA5', 'GNA15', 'MAPK9', 'RAP1A', 'RASGRP1', 'MAPK8', 'CNR2', 'CNR1', 'MAPK3', 'MAPK1', 'MAP2K6', 'MAP2K7', 'Na']
