0	Gene Signature
Flat acetabular roof (HP:0003180)	['COL2A1', 'CANT1', 'GNPTAB', 'SLC26A2', 'SLC35D1', 'DYM', 'TRPV4', 'FLNB', 'INPPL1', 'MATN3', 'Na']
Upper limb amyotrophy (HP:0009129)	['INF2', 'SLC52A3', 'ALS2', 'TRPV4', 'FLNC', 'PLOD3', 'DCTN1', 'SLC39A13', 'GARS', 'SPG11', 'BSCL2', 'Na']
Breast hypoplasia (HP:0003187)	['ORC6', 'CDT1', 'ANTXR1', 'ORC1', 'EFNB1', 'ORC4', 'IKBKG', 'TBX3', 'POC1A', 'TP63', 'Na']
Long nose (HP:0003189)	['MED12', 'JAG1', 'SLC9A6', 'GJA1', 'NOG', 'SATB2', 'OPHN1', 'NBN', 'AP4E1', 'TWIST1', 'THOC6', 'FGFR2', 'Na']
Aplasia/Hypoplasia involving the sinuses (HP:0009120)	['FUCA1', 'NOTCH2', 'ATRX', 'CTSK', 'FLNA', 'TRIM37', 'COL11A1', 'AGA', 'ALX3', 'DNAI1', 'RUNX2', 'AMER1', 'Na']
Abnormality of the femoral head (HP:0003368)	['CREBBP', 'TRAPPC2', 'KIF22', 'IFT140', 'SLC39A13', 'CDC6', 'RAB33B', 'TBX4', 'COL2A1', 'GNPTG', 'SBDS', 'CHST3', 'MATN3', 'RET', 'SMARCAL1', 'SLC26A2', 'IDUA', 'COL11A2', 'IHH', 'TRPS1', 'PLOD3', 'WISP3', 'ADAMTSL2', 'ACAN', 'COMP', 'DYM', 'COL10A1', 'PCNT', 'Na']
Spina bifida occulta (HP:0003298)	['CREBBP', 'HES7', 'NSUN2', 'CCBE1', 'LIMK1', 'RFC2', 'SMARCE1', 'PTPN11', 'PTCH1', 'LIG4', 'ARID1A', 'BAZ1B', 'BRAF', 'FUZ', 'TBX6', 'ARID1B', 'SOX11', 'SMARCA4', 'VANGL2', 'VANGL1', 'B3GALTL', 'CLIP2', 'MYH3', 'TBL2', 'IRF6', 'GTF2IRD1', 'RAF1', 'GTF2I', 'MESP2', 'SMARCB1', 'CUL7', 'MASP1', 'TNXB', 'ELN', 'DLL3', 'AMER1', 'LFNG', 'RAB23', 'PORCN', 'RECQL4', 'SALL4', 'CHRNG', 'FLNB', 'IKBKG', 'Na']
Abdominal situs inversus (HP:0003363)	['LETM1', 'CFAP53', 'WHSC1', 'ZIC3', 'NELFA', 'PRRX1', 'OTX2', 'NODAL', 'CFC1', 'ACTG2', 'Na']
Hemorrhage of the eye (HP:0011885)	['PROC', 'ATOH7', 'RB1', 'FZD4', 'COL4A1', 'ABCC6', 'CAPN5', 'TREX1', 'LRP5', 'IKBKG', 'DNM2', 'BEST1', 'Na']
Abnormality of the vitreous humor (HP:0004327)	['B3GALNT2', 'FKRP', 'FZD4', 'POMGNT2', 'POMGNT1', 'TMEM5', 'COL2A1', 'PROC', 'COL4A1', 'COL9A2', 'COL9A1', 'POMK', 'COL9A3', 'B3GNT1', 'BCOR', 'ISPD', 'COL18A1', 'RB1', 'COX7B', 'POMT1', 'POMT2', 'LRP5', 'HCCS', 'TSPAN12', 'BEST1', 'TTR', 'CAPN5', 'LARGE', 'ERBB3', 'NDP', 'COL11A1', 'FKTN', 'Na']
Abnormal isoelectric focusing of serum transferrin (HP:0003160)	['DPAGT1', 'SRD5A3', 'MPI', 'PMM2', 'COG6', 'COG5', 'ALG6', 'ALG3', 'DOLK', 'ALG13', 'COG1', 'ALG1', 'ALG11', 'DPM1', 'DPM3', 'DDOST', 'RFT1', 'MGAT2', 'PGM1', 'ATP6V0A2', 'Na']
Elevated circulating parathyroid hormone (PTH) level (HP:0003165)	['GNAS-AS1', 'STX16', 'CYP27B1', 'VDR', 'CASR', 'PRKAR1A', 'GNAS', 'SOST', 'PHEX', 'Na']
Embryonal renal neoplasm (HP:0011794)	['HDAC4', 'CDKN1C', 'BRCA2', 'IGF2', 'PALB2', 'CDC73', 'H19', 'WT1', 'PIK3CA', 'KCNQ1OT1', 'NSD1', 'BUB1B', 'BMPER', 'GPC4', 'TRIM37', 'GPC3', 'BUB3', 'DIS3L2', 'BUB1', 'TP53', 'CEP57', 'Na']
Abnormal umbilical cord blood vessels (HP:0011403)	['VANGL1', 'FOXF1', 'FANCB', 'GATA6', 'CCDC22', 'HOXD13', 'WNT3', 'SCARF2', 'MKS1', 'KIAA0196', 'Na']
Action tremor (HP:0002345)	['SCARB2', 'JPH3', 'ATXN2', 'FMR1', 'MPZ', 'PMP22', 'ATP2B3', 'PPP2R2B', 'ITPR1', 'Na']
Progressive neurologic deterioration (HP:0002344)	['EPM2A', 'CNTNAP2', 'GRN', 'GBA', 'IDUA', 'HEPACAM', 'GCH1', 'TINF2', 'HEXB', 'RAB27A', 'LMNB1', 'CTNS', 'SUMF1', 'HSD17B10', 'PTS', 'QDPR', 'GLB1', 'NAGLU', 'RRM2B', 'NHLRC1', 'ITM2B', 'Na']
Abnormality of placental membranes (HP:0011409)	['CHRND', 'FERMT1', 'GLE1', 'CHRNA1', 'NSDHL', 'GJB2', 'POMP', 'CHRNG', 'RAPSN', 'Na']
Intellectual disability, moderate (HP:0002342)	['EGF', 'FMR1', 'RPGRIP1L', 'CASK', 'TWIST1', 'PAX1', 'ZEB2', 'EBP', 'PTDSS1', 'TMEM67', 'CENPJ', 'INPP5E', 'TUBB3', 'AKT1', 'MAN1B1', 'CDK5RAP2', 'IL1RAPL1', 'NHS', 'CC2D2A', 'RTTN', 'SHANK3', 'FGFR2', 'Na']
Impaired vibration sensation in the lower limbs (HP:0002166)	['PRKCG', 'RTN2', 'NIPA1', 'ATL1', 'GBA2', 'SPG7', 'CYP7B1', 'HSPD1', 'PDYN', 'KIAA0196', 'KIF5A', 'SPAST', 'SACS', 'FLVCR1', 'SPG11', 'BSCL2', 'Na']
Low posterior hairline (HP:0002162)	['KCNJ8', 'ABCC9', 'B3GAT3', 'TMCO1', 'PTPN11', 'UBE2A', 'BRAF', 'SMC1A', 'KAT6B', 'NF1', 'ALDOA', 'RAF1', 'SOS1', 'TFAP2A', 'SRCAP', 'LRP5', 'NRAS', 'ACTB', 'RAD21', 'MEOX1', 'EFNB1', 'SHOC2', 'CREBBP', 'MAP2K2', 'EPHX1', 'MAP2K1', 'IRX5', 'GDF3', 'HNF1B', 'A2ML1', 'TBX6', 'GDF6', 'ZDHHC15', 'KIAA0196', 'RIT1', 'LHX1', 'KRAS', 'GNE', 'RAB3GAP2', 'RAB3GAP1', 'ACTG1', 'PHF8', 'PEPD', 'HDAC8', 'SMC3', 'SPRED1', 'NIPBL', 'CHRNG', 'ANKRD11', 'Na']
Calf muscle hypertrophy (HP:0008981)	['AR', 'FKRP', 'CAV3', 'SGCA', 'TCAP', 'TTN', 'ANO5', 'FKTN', 'Na']
Scanning speech (HP:0002168)	['COQ2', 'ATXN10', 'PLP1', 'PNPLA6', 'SACS', 'CP', 'ATXN1', 'ITPR1', 'Na']
Cutaneous melanoma (HP:0012056)	['NRAS', 'BAP1', 'CDKN2A', 'ERCC3', 'MITF', 'PTEN', 'XPC', 'POLH', 'Na']
Sepsis (HP:0100806)	['EDN3', 'LIG4', 'L1CAM', 'G6PC3', 'ABCA12', 'APC', 'NCF1', 'PLEC', 'ADA', 'DCLRE1C', 'GALT', 'RET', 'CHD7', 'IL2RG', 'ALOX12B', 'CYP4F22', 'NIPAL4', 'BLNK', 'ELANE', 'LRRC8A', 'MUT', 'CYBB', 'CYBA', 'HLA-B', 'PIK3R1', 'IGLL1', 'GDNF', 'BTK', 'TCF3', 'IL7R', 'IGHM', 'NCF2', 'WIPF1', 'NCF4', 'CTNNB1', 'ITGB4', 'AK2', 'ECE1', 'WAS', 'ACTG2', 'CD79B', 'TGM1', 'CD79A', 'EDNRB', 'NRTN', 'LIPN', 'ATP7A', 'RAG1', 'RMRP', 'RAG2', 'Na']
Constipation (HP:0002019)	['TRHR', 'PDGFRA', 'KRT5', 'SLC12A1', 'OCRL', 'MSH2', 'SDHB', 'SOX10', 'SDHC', 'L1CAM', 'SDHA', 'DES', 'FOXP1', 'SKI', 'SCNN1G', 'HMBS', 'SCN10A', 'SCNN1B', 'MSH6', 'GTF2IRD1', 'DHCR7', 'GTF2I', 'CHRM3', 'TYMP', 'TNXB', 'FOXG1', 'CISD2', 'TRNS2', 'UBE3A', 'UBE3B', 'NALCN', 'CPOX', 'HPSE2', 'TRNS1', 'PPOX', 'COMT', 'HIRA', 'SLC5A5', 'ASCL1', 'AQP2', 'PROKR2', 'IYD', 'DUOXA2', 'FLNA', 'NKX2-1', 'CHST14', 'ARVCF', 'NKX2-5', 'PMS2', 'PMS1', 'CREBBP', 'CD96', 'CASR', 'WFS1', 'PRNP', 'KCNAB2', 'BAZ1B', 'VANGL1', 'DDOST', 'SLC6A8', 'TBL2', 'LHX4', 'LHX3', 'GDNF', 'FGFR1', 'POLG2', 'TCF4', 'ND1', 'FTL', 'ND4', 'BIRC3', 'ND6', 'ND5', 'FOXE1', 'KMT2A', 'SLC6A3', 'MAGEL2', 'ACTG2', 'SOX3', 'SALL1', 'PTRF', 'SOX2', 'TPO', 'SCN9A', 'HESX1', 'NRTN', 'COX3', 'COX2', 'LRRFIP2', 'COX1', 'MNX1', 'EDN3', 'LIMK1', 'RFC2', 'MMP1', 'AVPR2', 'BDNF', 'KRT14', 'BRAF', 'DDHD2', 'TNFRSF1A', 'TGFBR2', 'PHOX2B', 'TG', 'ZEB2', 'PCCB', 'PAX8', 'PIK3CA', 'PCCA', 'COL7A1', 'ALPL', 'SLC26A4', 'BMPR1A', 'RET', 'MEFV', 'UFD1L', 'FLII', 'SRCAP', 'ELN', 'NRXN1', 'PRDM16', 'IKBKAP', 'TRH', 'LMNB1', 'IGHMBP2', 'BRCA1', 'GJC2', 'RAI1', 'DUOX2', 'MECP2', 'MED12', 'EPCAM', 'OTX2', 'PROP1', 'MBD5', 'TBX1', 'POU1F1', 'TRNW', 'CDKL5', 'MLH1', 'ATRX', 'TRNQ', 'GP1BB', 'MLH3', 'TSHR', 'CLIP2', 'TRNL1', 'KIT', 'KRAS', 'PIGV', 'DDC', 'THRB', 'THRA', 'ECE1', 'MALT1', 'TTR', 'TRNH', 'EDNRB', 'TRNF', 'TRNE', 'SCN11A', 'SIX3', 'SMPD1', 'LRIG2', 'MLYCD', 'POLG', 'KCNJ1', 'TRNK', 'GABRD', 'TSHB', 'Na']
Nausea (HP:0002018)	['MGME1', 'EDNRA', 'SLC7A7', 'HMBS', 'LPL', 'FSHR', 'ETFDH', 'ETFA', 'ETFB', 'GLA', 'TNF', 'ALDOB', 'Na']
Aplasia/Hypoplasia of the earlobes (HP:0009906)	['TBX1', 'ESCO2', 'VPS13B', 'KCTD1', 'HBA1', 'GP1BB', 'HBA2', 'CDC6', 'FIG4', 'COL3A1', 'CENPJ', 'FGF10', 'B4GALT7', 'FGFR3', 'ATR', 'FGFR2', 'UFD1L', 'SEMA3E', 'CHD7', 'COMT', 'HIRA', 'HDAC8', 'CEP152', 'RBBP8', 'PCNT', 'ARVCF', 'ATRIP', 'Na']
Vomiting (HP:0002013)	['GK', 'SLC12A1', 'F12', 'ALG11', 'ASS1', 'SCNN1G', 'CYP24A1', 'HMBS', 'SCNN1B', 'GLA', 'DHCR7', 'OTC', 'GALT', 'TYMP', 'MPI', 'SCNN1A', 'CPOX', 'TNF', 'PPOX', 'AQP2', 'ST3GAL5', 'FLNA', 'NDUFV2', 'NDUFV1', 'PMM2', 'ALG3', 'ACSF3', 'BTD', 'SLC6A8', 'AIMP1', 'TCN2', 'NDUFAF5', 'SERPING1', 'NDUFAF3', 'NDUFAF4', 'NDUFAF1', 'HPRT1', 'NDUFAF2', 'SLC22A5', 'LPL', 'LIPA', 'ACTG2', 'OPLAH', 'DGUOK', 'ASL', 'ATP6V0A4', 'BCKDHB', 'BCKDHA', 'AVPR2', 'BRAF', 'SLC7A7', 'ZEB2', 'PCCB', 'CPS1', 'PCCA', 'NDUFS6', 'CYP11B2', 'ALPL', 'NDUFS4', 'NDUFS3', 'NDUFS2', 'NDUFS1', 'ALDOB', 'SHANK3', 'NDUFB9', 'SAR1B', 'NDUFB3', 'IKBKAP', 'ACAT1', 'ETFDH', 'HLCS', 'ALAD', 'DBT', 'CPT2', 'D2HGDH', 'ACP2', 'MMAB', 'ARG1', 'NUBPL', 'DGAT1', 'MCCC1', 'ATRX', 'NDUFA1', 'MUT', 'GALC', 'GALE', 'IVD', 'BOLA3', 'NAGS', 'SLC25A15', 'NEUROG3', 'MVK', 'TRMU', 'ACADVL', 'NDUFA11', 'ETFA', 'ETFB', 'NR3C2', 'FOXRED1', 'EDNRA', 'ACADM', 'OXCT1', 'SMPD1', 'MPV17', 'MLYCD', 'MMAA', 'POLG', 'KCNJ1', 'Na']
Dysphagia (HP:0002015)	['GUCY1A3', 'PDGFRA', 'TPM3', 'CTNS', 'LIFR', 'SDHB', 'MID1', 'SDHC', 'COLQ', 'AFG3L2', 'POLR3A', 'SLC9A6', 'KAT6B', 'PRKRA', 'TARDBP', 'PFN1', 'CHRNB1', 'OPTN', 'PCNA', 'CHRNA1', 'PANK2', 'ATP1A3', 'SPG7', 'YARS2', 'SEPN1', 'MPZ', 'PABPN1', 'C10ORF2', 'MUSK', 'PRKCG', 'DMPK', 'KCND3', 'WFS1', 'PRNP', 'CHCHD10', 'VPS13A', 'AR', 'GJB1', 'CYP27A1', 'QDPR', 'REEP1', 'SETX', 'VAMP1', 'CHMP2B', 'FBXL4', 'HPRT1', 'FTL', 'NOTCH3', 'CACNA1A', 'ARX', 'CHAT', 'GNS', 'PSEN1', 'PLA2G6', 'ACTG2', 'PTRF', 'NUP62', 'CHMP1A', 'SLC19A3', 'HGSNAT', 'SLC52A3', 'SLC52A2', 'NPC1', 'NEB', 'DDHD2', 'ACTA1', 'MAPT', 'NPC2', 'MYOT', 'RRM2B', 'ACOX1', 'COL7A1', 'RAPSN', 'MYH8', 'KCNK9', 'MEGF10', 'CHD7', 'LMNB1', 'MED17', 'MECP2', 'ATXN3', 'ATXN2', 'PSAP', 'DNAJB6', 'ATXN8', 'GMPPA', 'ATXN7', 'ATXN1', 'TBP', 'TIMM8A', 'GCH1', 'IRX5', 'SYT14', 'SOD1', 'TUBB4A', 'PDP1', 'PNKD', 'VAPB', 'KIT', 'ATXN10', 'ALS2', 'PLP1', 'MATR3', 'SPG21', 'SCARB2', 'GBA', 'SEMA3E', 'PRPS1', 'GNAI3', 'CLCN1', 'PTS', 'CHRND', 'CHRNE', 'ATXN8OS', 'POLG', 'ATP7B', 'SPG11', 'Na']
Pancreatic fibrosis (HP:0100732)	['WDPCP', 'PRPS1', 'RPGRIP1L', 'TMEM231', 'RPGRIP1', 'WDR60', 'TMEM67', 'TMEM216', 'TCTN2', 'NEK1', 'NPHP3', 'B9D2', 'CC2D2A', 'CEP290', 'B9D1', 'MKS1', 'Na']
Attenuation of retinal blood vessels (HP:0007843)	['CERKL', 'ABCA4', 'PDE6G', 'PRCD', 'USH2A', 'RPE65', 'BEST1', 'TOPORS', 'RPGRIP1', 'TTC8', 'NMNAT1', 'CLRN1', 'FSCN2', 'AIPL1', 'ZNF513', 'PDE6A', 'SNRNP200', 'RGR', 'C2ORF71', 'IDH3B', 'EYS', 'Na']
Transposition of the great arteries (HP:0001669)	['TBX1', 'CFAP53', 'GDF1', 'GATA6', 'HOXD13', 'GATA4', 'MED13L', 'CFC1', 'RAB23', 'VANGL1', 'WT1', 'PIGL', 'GPC3', 'PHGDH', 'NKX2-6', 'MEGF8', 'NODAL', 'NKX2-5', 'FKTN', 'Na']
Ventricular fibrillation (HP:0001663)	['DPP6', 'DSP', 'KCNE1', 'KCNE2', 'KCNE3', 'KCNQ1', 'GPD1L', 'SCN5A', 'KCNH2', 'SCN1B', 'Na']
Bradycardia (HP:0001662)	['HCN4', 'TSPYL1', 'DST', 'BRAT1', 'PRKAG2', 'TMEM43', 'CACNA1D', 'ANK2', 'LMNA', 'PTRF', 'EFEMP2', 'SCN9A', 'PAX8', 'NPPA', 'SCN5A', 'SLC25A20', 'C10ORF2', 'GLUL', 'TLL1', 'TRPM4', 'Na']
Opisthotonus (HP:0002179)	['TUFM', 'GBA', 'GLYCTK', 'ADSL', 'MCCC1', 'ALG11', 'TSEN54', 'CYB5R3', 'CRLF1', 'SETBP1', 'VPS53', 'HPRT1', 'ASPA', 'MOCS1', 'ACP2', 'MOCS2', 'GCDH', 'Na']
Truncus arteriosus (HP:0001660)	['TBX1', 'UFD1L', 'GDF1', 'NEK8', 'GATA6', 'GP1BB', 'COMT', 'HIRA', 'CFC1', 'CRKL', 'BCR', 'MAPK1', 'STRA6', 'NKX2-6', 'ARVCF', 'NKX2-5', 'Na']
Abnormality of the distal phalanx of the thumb (HP:0009617)	['CREBBP', 'CANT1', 'SLC26A2', 'PTCH2', 'IHH', 'PTCH1', 'HOXD13', 'LMBR1', 'KIF7', 'GLI3', 'CHSY1', 'SUFU', 'FLNA', 'FLNB', 'FGFR2', 'Na']
Ankle contracture (HP:0006466)	['COL6A1', 'ESCO2', 'MMP2', 'COL6A3', 'COL6A2', 'FLNA', 'DAG1', 'C19ORF12', 'DPM1', 'FIG4', 'Na']
Generalized hyperpigmentation (HP:0007440)	['INSR', 'MAP2K2', 'MAP2K1', 'TINF2', 'AIP', 'MYO5A', 'PAX6', 'HFE2', 'BRAF', 'ALDH3A2', 'DKC1', 'GJB6', 'GNAS', 'HAMP', 'KRAS', 'HFE', 'PTEN', 'CPOX', 'SLC40A1', 'PPOX', 'RTEL1', 'LYST', 'AAAS', 'TERT', 'GMPPA', 'AKT1', 'HRAS', 'TP63', 'Na']
Abnormality of the aortic arch (HP:0012303)	['CREBBP', 'TBX1', 'GATA6', 'CRELD1', 'PIK3R2', 'STRA6', 'DIS3L2', 'ACVR2B', 'GLI3', 'Na']
Bowing of the arm (HP:0006488)	['RNU4ATAC', 'LEPRE1', 'NPR2', 'WNT7A', 'GDF5', 'B3GALT6', 'HOXA11', 'MMP13', 'RECQL4', 'POR', 'FLNA', 'COL11A1', 'FLNB', 'SHOX', 'B2M', 'PCNT', 'SCARF2', 'CHST3', 'FGFR2', 'Na']
Abnormality of primary teeth (HP:0006481)	['EDARADD', 'VDR', 'WNT10A', 'STAT3', 'TMCO1', 'EDAR', 'FIG4', 'RUNX2', 'FERMT1', 'CLCN7', 'COL3A1', 'TRAF6', 'ALPL', 'FGF10', 'ERCC8', 'ERCC6', 'BCOR', 'FGFR3', 'FGFR2', 'EHMT1', 'TCIRG1', 'PTH1R', 'UBR1', 'SNX10', 'RAB23', 'GJA1', 'ADAMTS2', 'CTSK', 'FLNA', 'TNFSF11', 'MSX1', 'KCNJ2', 'CTSC', 'Na']
Abnormality of the dental root (HP:0006486)	['KL', 'EDA', 'DLX3', 'GALNT3', 'FLII', 'WDR19', 'OCRL', 'IFT122', 'WDR35', 'FGF3', 'RAI1', 'IFT43', 'GJA1', 'SMOC2', 'FGF10', 'FGFR3', 'FGF23', 'FGFR2', 'TP63', 'Na']
Concave nail (HP:0001598)	['EDA', 'LMX1B', 'MPLKIP', 'PLCD1', 'TRPS1', 'MSX1', 'HRAS', 'HOXC13', 'Na']
Bell-shaped thorax (HP:0001591)	['DDR2', 'TBX15', 'COL11A2', 'CSPP1', 'IFT172', 'BMPER', 'PEX1', 'INPPL1', 'WDR34', 'FGFR2', 'Na']
Selective tooth agenesis (HP:0001592)	['EIF4A3', 'B3GALTL', 'BLM', 'GJA1', 'CDH3', 'NAA10', 'FLNA', 'LTBP3', 'GLI2', 'ATR', 'TP63', 'Na']
Neoplasm of striated muscle (HP:0009728)	['MLH1', 'PTCH2', 'DICER1', 'PTCH1', 'PAX7', 'TSC2', 'TSC1', 'MSH2', 'PAX3', 'FOXO1', 'SLC22A18', 'BUB1B', 'MSH6', 'SUFU', 'NBN', 'NF1', 'HRAS', 'PMS2', 'Na']
Striae distensae (HP:0001065)	['SMAD3', 'TNXB', 'ABCC6', 'AIP', 'PDE11A', 'TGFBR1', 'TGFBR2', 'HDAC8', 'CUL4B', 'COL3A1', 'SH3BP2', 'PRKAR1A', 'GNAS', 'PDE8B', 'FBN1', 'Na']
