0	Gene Signature
Acquired metabolic disease	['UNC13B', 'CADM2', 'TEX37', 'CCK', 'FRS2', 'DKK3', 'RNF223', 'PSMC3', 'CYP20A1', 'SIK3', 'UHRF1BP1', 'EPHA4', 'CDK17', 'TRIM13', 'C2ORF88', 'AHCYL2', 'ADCY5', 'GPATCH2', 'ADCY3', 'AKAP6', 'ADCY2', 'ADCY9', 'BACH1', 'BACH2', 'HS6ST3', 'DPYSL5', 'ZMIZ1', 'SNX29', 'STXBP6', 'GNAT2', 'JAZF1', 'ANKS1B', 'PPARGC1B', 'ANKS1A', 'VPS18', 'SLC35C1', 'GDF5', 'IGF1', 'PBX1', 'TP73', 'ZZZ3', 'RPS29', 'ZFAT', 'PLSCR5', 'PRKD1', 'PRKCQ', 'DNAH10', 'LCORL', 'SLC22A4', 'CETP', 'WDR49', 'HHIP', 'PDGFC', 'JMJD1C', 'C12ORF61', 'PCDH15', 'SLC30A10', 'PCDH17', 'NKAIN2', 'CCDC91', 'T', 'EPB41L1', 'DYM', 'PCDHA6', 'OR2Y1', 'AMZ1', 'RPS14', 'ZNF367', 'UBL4B', 'SS18', 'SLC10A6', 'NSUN2', 'CENPW', 'SEC16B', 'RANBP17', 'NFATC4', 'BCDIN3D', 'TET2', 'GP2', 'PAX7', 'DCBLD1', 'SUPT3H', 'PIGF', 'GPRC5B', 'TAL2', 'POC5', 'ITPKB', 'FUBP3', 'PXMP4', 'CENPO', 'C5ORF50', 'SLC22A8', 'GPR126', 'DOT1L', 'SERPINA12', 'GIPR', 'PCSK1', 'FASTKD2', 'KCNC2', 'C2CD4A', 'STC1', 'HNF4G', 'PTPRJ', 'SLC7A10', 'GRIK1', 'MRPL33', 'PCSK5', 'RAD51AP2', 'STK33', 'OR4S1', 'DEC1', 'SOCS2', 'CHL1', 'LHPP', 'SH3BGRL2', 'CD36', 'ATAD5', 'C1GALT1', 'PROX1', 'ADAM12', 'SLC39A11', 'TNNI3K', 'SORBS2', 'SULF1', 'WDR11', 'RYBP', 'PPARG', 'GOPC', 'GLT25D2', 'SPC25', 'FOXA2', 'SPEF1', 'ZDHHC21', 'NUDT3', 'AIF1', 'SNX10', 'PEPD', 'TRAK1', 'FSTL5', 'RPTOR', 'RSRC1', 'SERTAD2', 'MC4R', 'ADAMTSL3', 'RSPO3', 'MGAT5', 'ROPN1L', 'THSD7B', 'FADS1', 'TFAP2B', 'QPCTL', 'LMO1', 'BCHE', 'TLE1', 'CNTN6', 'CEP112', 'PCDHA13', 'GRHL3', 'CDKAL1', 'LRP1B', 'GCK', 'MADD', 'FOXP1', 'MTNR1B', 'GNPDA2', 'OLFM4', 'PSAT1', 'ABI2', 'TBC1D23', 'MAD2L2', 'DGKG', 'KCNG4', 'CEP120', 'CTNND2', 'C6ORF10', 'IL1RAP', 'KLHL36', 'DNAJC27', 'LOXL1', 'TANK', 'GALNT10', 'KLHL32', 'MPZ', 'PTTG1', 'PEBP4', 'SH2B1', 'PITX1', 'GPC6', 'SLC39A8', 'GRB10', 'RHBG', 'MICA', 'GHSR', 'ZNF664', 'PMS1', 'SLC30A8', 'MAP2K5', 'CAST', 'FANCL', 'GCKR', 'KCND3', 'IGFBP5', 'IGFBP4', 'TTC21B', 'C17ORF82', 'ESR1', 'SMAD6', 'DUPD1', 'ADRA2A', 'LHX8', 'CDC42EP3', 'TAF4B', 'LOC619207', 'NMUR1', 'MYCBPAP', 'FTO', 'OR10J1', 'DOCK4', 'KCNE4', 'LPL', 'CLSTN2', 'CSH1', 'SLC2A2', 'LPP', 'RORB', 'PDS5B', 'LTBP1', 'LIN7C', 'RORA', 'FABP12', 'GLIS3', 'EFEMP1', 'SCMH1', 'C6ORF106', 'FAM174B', 'COBLL1', 'LARGE', 'AC026703', 'LEPR', 'EDIL3', 'SLC15A5', 'TRIM66', 'FAM81A', 'PCDHAC2', 'BCKDHB', 'LINGO2', 'KSR2', 'BDNF', 'RBM19', 'HMGA2', 'ADAMTS20', 'RAD23B', 'ARAP1', 'HMGA1', 'ETV5', 'MARCH6', 'G6PC2', 'ETV6', 'DNM3', 'BMP6', 'TMEM212', 'RABEP2', 'ZFP64', 'MFAP2', 'CDK6', 'RFT1', 'MYO3B', 'FAM84A', 'C14ORF39', 'NFE2L3', 'H6PD', 'HAPLN1', 'MIPEP', 'CNTNAP2', 'L3MBTL3', 'ZC3H4', 'NPR3', 'DTX1', 'NRXN3', 'MTIF3', 'HTR2A', 'BICD1', 'ADAMTS17', 'PTBP2', 'ADAMTS14', 'RREB1', 'SDR16C5', 'PRKG2', 'OPCML', 'MAGI2', 'NCKAP5L', 'RNGTT', 'KCNH5', 'TCF7L2', 'SIGLECL1', 'KDM2B', 'EYA2', 'IRX6', 'NEGR1', 'EYA4', 'ZBTB38', 'CABLES1', 'ZNF804B', 'PDX1', 'C1ORF143', 'FNDC3B', 'TSHR', 'KLF9', 'PPM1B', 'TBX15', 'PDE10A', 'LMX1B', 'SUCLA2', 'CRY2', 'ANAPC4', 'PI16', 'CCDC171', 'KCTD15', 'HIST1H2BF', 'SPRY2', 'MTCH2', 'PPP2R2A', 'MSMO1', 'SQRDL', 'NR3C2', 'ACAN', 'EFR3B', 'GRM8', 'ADAMTS2', 'RNPEP', 'IGF2BP2', 'DLEU1', 'EPHB1', 'IGF2BP3', 'ADAMTS9', 'DIS3L2', 'ZNF169', 'ABP1', 'Na']
Acrocallosal syndrome	['ACLY', 'NOTCH1', 'TCEAL4', 'RFXANK', 'PIR', 'APOH', 'KIF7', 'LAX1', 'CTSC', 'GLI3', 'Na']
Acrocephalosyndactylia	['PGAM2', 'SNX13', 'TWIST1', 'FGF2', 'FERD3L', 'ARID1B', 'RAB23', 'EFNB1', 'TWISTNB', 'FGFR1', 'FGF10', 'MSX2', 'FGFR3', 'FGFR2', 'Na']
Acrodermatitis enteropathica	['SLC30A7', 'SLC39A1', 'SLC30A6', 'TREH', 'SLC30A5', 'SLC30A2', 'SLURP1', 'TMPO', 'REPIN1', 'ERCC8', 'DZIP1', 'LCT', 'CCDC130', 'SLC39A2', 'SLC39A5', 'SLC39A4', 'Na']
Acrodysostosis	['PDE4D', 'GNAS', 'PDE4B', 'PDE4A', 'PTH1R', 'Na']
Acrofacial dysostosis	['POLR1A', 'WDR19', 'NEK1', 'TTC21B', 'IFT122', 'UPF3B', 'WDR35', 'Na']
Acromegaly	['IGFBP1', 'IGFBP3', 'AIP', 'IGF1', 'SSTR1', 'GCG', 'IGF2', 'SSTR2', 'SSTR5', 'GH1', 'POMC', 'SST', 'SLCO2A1', 'PRKAR1A', 'GHRH', 'CRH', 'GPR101', 'VIP', 'GHDC', 'GNRH1', 'SNED1', 'STH', 'TRH', 'PRL', 'INS', 'GHR', 'GAST', 'MEN1', 'Na']
Acromesomelic dysplasia	['NPPC', 'GHR', 'STOML2', 'NPR1', 'GCA', 'GDF5', 'NPTXR', 'BMPR1B', 'GUCA2A', 'Na']
Actinic keratosis	['PAQR8', 'SPINK9', 'KHDC1', 'CALML3', 'TLR7', 'METRNL', 'EIF2D', 'TP53', 'CRLF3', 'Na']
Acute chest syndrome	['KEL', 'PLA2G10', 'HBB', 'SUDS3', 'HBD', 'ASPRV1', 'COMMD7', 'CYGB', 'Na']
Acute cystitis	['MGEA5', 'BCKDHA', 'PAQR7', 'SMOX', 'SNORA70', 'KSR1', 'PCDH8', 'LEPREL1', 'UPK1A', 'UBAC1', 'SUMF2', 'NPHS1', 'CYP24A1', 'IL8', 'ALB', 'LCN2', 'CD248', 'ADCY10', 'TLR4', 'MCU', 'CHRM3', 'CRP', 'CHRM4', 'NUMA1', 'UMOD', 'SLC5A2', 'KLK3', 'SLC5A4', 'SLC5A5', 'SAMHD1', 'CD79A', 'CXCR1', 'SOX17', 'C16ORF58', 'HSF4', 'NHS', 'B2M', 'Na']
Acute disseminated encephalomyelitis	['LETM2', 'MOG', 'ELP2', 'MBP', 'WDR63', 'CD40LG', 'AQP4', 'Na']
Acute intermittent porphyria	['ALAD', 'FECH', 'ALAS1', 'HMBS', 'UROD', 'C16ORF80', 'UROS', 'AVP', 'INTS8', 'PCBD1', 'HPX', 'Na']
Acute lymphocytic leukemia	['LMO1', 'PHF6', 'TPMT', 'RANBP17', 'RAP1GDS1', 'ARID5B', 'RCSD1', 'C20ORF112', 'P2RY8', 'LYL1', 'ELDR', 'TAL2', 'TLX3', 'TLX1', 'ITPA', 'NUDT15', 'CRLF2', 'Na']
Acute monocytic leukemia	['FAM120A', 'MYO1F', 'ZNF580', 'CAB39L', 'SPINK13', 'SWI5', 'RPP21', 'KIAA0100', 'NFIA-AS1', 'TRIM39-RPP21', 'Na']
Acute myeloid leukemia	['PHF6', 'CDX4', 'NSD1', 'PHF23', 'BAALC', 'DDX10', 'ERF', 'HSA-MIR-3151-5P', 'USP42', 'MLF1', 'PRAM1', 'Na']
Acute pancreatitis	['SELP', 'PLA2G1B', 'PLA2G10', 'PLA2G2A', 'HSPA1A', 'IL18', 'HSA-MIR-551B-5P', 'RPAP2', 'SAT1', 'TGM4', 'Na']
Acute poststreptococcal glomerulonephritis	['PRRT1', 'SKA1', 'SFMBT1', 'NASP', 'SKA2', 'SKA3', 'Na']
Acute promyelocytic leukemia	['STAT5B', 'NPM1', 'NUMA1', 'RARA', 'PML', 'Na']
Acute stress disorder	['BATF2', 'GABRA2', 'DIS3', 'TEN1', 'TBX20', 'Na']
Acute urate nephropathy	['ZNF365', 'CLNK', 'LRRC16A', 'SLC26A6', 'SLC2A9', 'Na']
Adams-Oliver syndrome	['DOCK6', 'NOTCH1', 'EGF', 'LAMA5', 'ZC4H2', 'GTDC2', 'DLL4', 'CDC42', 'RBPJ', 'NELL1', 'ARHGAP31', 'EOGT', 'ALX4', 'OGT', 'PAMR1', 'Na']
Addison's disease	['TOR1A', 'TNFRSF10A', 'NR0B1', 'POMC', 'TG', 'CYP21A2', 'CRH', 'SNORA49', 'REN', 'TNFRSF25', 'HLA-DRB1', 'LRR1', 'PTPN22', 'CLEC16A', 'INS', 'TGM2', 'SULT2A1', 'GPR174', 'NUDT10', 'NLRP5', 'CYP11A1', 'CTLA4', 'NLRP1', 'ABCD1', 'CIITA', 'MICA', 'HLA-DQA1', 'Na']
Adenine phosphoribosyltransferase deficiency	['DPYS', 'XDH', 'HPRT1', 'UMPS', 'APRT', 'Na']
Adenocarcinoma	['BPTF', 'APOM', 'CHRNA3', 'BTNL2', 'TRIM27', 'CLPTM1L', 'ARID1A', 'TP53', 'TP63', 'Na']
Adenocarcinoma in situ	['CDKN2A', 'ASPH', 'CEACAM5', 'NYNRIN', 'INSM1', 'SOX14', 'KRT7', 'HRAS', 'KRAS', 'GGN', 'MAPK8IP1', 'ALK', 'Na']
Adenoma	['FBXW7', 'APC', 'CTNNB1', 'GNAS', 'BRAF', 'KRAS', 'MEN1', 'TP53', 'Na']
Adenomatoid tumor	['WT1', 'CALB2', 'KRT5', 'CEACAM5', 'HBA1', 'Na']
Adjustment disorder	['CCAR1', 'GOLPH3', 'AQPEP', 'PRKCD', 'ANKS1A', 'Na']
Adrenal cortical adenoma	['CYP17A1', 'NR5A1', 'POMC', 'MLANA', 'CYP11A1', 'CYP11B2', 'CYP11B1', 'REN', 'PDE11A', 'Na']
Adrenal gland cancer	['RET', 'VHL', 'GNAS', 'CACNA1D', 'ATP1A1', 'Na']
Adrenocortical carcinoma	['CYP17A1', 'CYP2W1', 'NDUFS8', 'MLANA', 'CYP21A2', 'HSD3B2', 'TSSC1', 'CYP11B1', 'MRPL48', 'HSA-MIR-493-3P', 'TM7SF2', 'ZNF367', 'Na']
Adrenoleukodystrophy	['ELOVL1', 'PHYH', 'BCAP31', 'ST14', 'PEX14', 'PEX16', 'COLQ', 'SLC25A17', 'POMC', 'CAT', 'PEX5', 'GNPAT', 'ACOX1', 'B7Z8C9', 'PLXNB3', 'ACSBG2', 'ACSBG1', 'SLC27A2', 'ABCD3', 'ABCD4', 'PEX11A', 'HSD17B4', 'SCP2', 'ABCD1', 'ABCD2', 'Na']
Adult T-cell leukemia	['JPX', 'PLVAP', 'ATL2', 'ZNF282', 'HBZ', 'Na']
Advanced sleep phase syndrome	['RBM4', 'RBM14-RBM4', 'DAOA', 'CSNK1D', 'CSNK1E', 'TIMELESS', 'GPR50', 'KDM5A', 'PAIP2', 'MZB1', 'Na']
Agammaglobulinemia	['SLAMF1', 'SRC', 'PLEK', 'LRRC8A', 'CD81', 'SH2D1A', 'LRBA', 'TXK', 'BMX', 'CD79B', 'CXCL12', 'CD79A', 'VPREB1', 'CXCR4', 'CD19', 'BTK', 'LRRC8B', 'CD38', 'PLCG2', 'LCP2', 'CD40LG', 'ITK', 'Na']
Age related macular degeneration	['ABCA4', 'ELOVL4', 'RAX2', 'ASPM', 'CFHR2', 'CFHR5', 'CFHR4', 'F13B', 'ERCC6', 'TLR4', 'CFB', 'ARMS2', 'CETP', 'CFI', 'CFH', 'CX3CR1', 'HTRA1', 'LIPC', 'C2', 'BEST1', 'FBLN5', 'C3', 'CST3', 'C9', 'MAP2', 'TIMP3', 'HMCN1', 'APOE', 'Na']
Aggressive periodontitis	['TM9SF2', 'CKAP2L', 'UBE3D', 'FAM5C', 'AADACL2', 'HPVC1', 'LYZL2', 'MEI1', 'CLEC19A', 'GLT6D1', 'Na']
Aggressive systemic mastocytosis	['PDCL2', 'SPO11', 'TNP1', 'GMCL1', 'H19', 'Na']
Agoraphobia	['HSA-MIR-3591-3P', 'USP39', 'HSA-MIR-1271-5P', 'OPRK1', 'PTK7', 'KCTD5', 'COMT', 'SLC6A4', 'CTU2', 'HSA-MIR-4717-5P', 'RGS2', 'CCKBR', 'SNRPD1', 'PIR', 'SCLY', 'WASF2', 'NPSR1', 'Na']
Agraphia	['GRN', 'PNMA2', 'PSEN1', 'TARDBP', 'DEDD', 'Na']
Aicardi-Goutieres syndrome	['IFIH1', 'RNASEH2C', 'RNASEH2B', 'TREX1', 'RNASEH2A', 'ADAR', 'SAMHD1', 'Na']
Aicardi syndrome	['GPM6B', 'CDKL5', 'IQSEC2', 'OFD1', 'MSL3', 'KANTR', 'CYS1', 'PCDH19', 'MSL2', 'SOX3', 'AKT3', 'KCNQ2', 'SIX3', 'FLNA', 'KAT8', 'Na']
Akinetic mutism	['MAMLD1', 'SLC22A7', 'PNMA2', 'TXNDC9', 'CTSF', 'Na']
Alagille syndrome	['MESP2', 'ZNF133', 'ZNF132', 'NOTCH2', 'ZNF131', 'SRRT', 'RFNG', 'DLL3', 'RBPJ', 'PLCB4', 'HEY2', 'MFNG', 'ZNF138', 'Na']
Aland Island eye disease	['RP2', 'GK', 'ZNF41', 'ZNF182', 'TBC1D25', 'PRICKLE3', 'NDP', 'ARAF', 'OTC', 'CACNA1F', 'NYX', 'Na']
Alcohol dependence	['CHRNB4', 'HOMER2', 'TAS2R16', 'PDYN', 'MFSD11', 'CCAR1', 'ANKK1', 'CNIH3', 'LINC00880', 'CHRNA4', 'CHRNA3', 'ANKRD36', 'CHRNA5', 'SLC46A1', 'ADH1B', 'SLC1A2', 'ADH1A', 'TESK2', 'COMT', 'ADCY7', 'PPP1R32', 'MGAM', 'CREB1', 'PNOC', 'PTP4A1', 'CRHR1', 'SLC6A3', 'IPO11', 'SLC6A4', 'ADH6', 'ADH7', 'ADH4', 'ADH5', 'GRIN2B', 'HTR7', 'GRIN2A', 'TNFSF12', 'GGT2', 'GGT1', 'NKAIN1', 'GABRA2', 'KCNJ6', 'GABRA1', 'KCNJ9', 'TTC12', 'GABRA6', 'BDNF', 'HTR1B', 'TACR1', 'OPRM1', 'HTR1A', 'TF', 'ALB', 'SERINC2', 'GARS', 'CPO', 'RTN4', 'TPH2', 'GABRB2', 'OPRD1', 'GABRB1', 'TPH1', 'MAOB', 'MAOA', 'RASGRF2', 'HTR2C', 'PRL', 'MTIF2', 'HTR2A', 'OPRL1', 'GRIK3', 'ASIC5', 'DRD1', 'DRD2', 'WASF1', 'MPDZ', 'WASF2', 'DRD3', 'DRD4', 'OPRK1', 'GABRG1', 'HTR3B', 'HTR3A', 'GABRG3', 'GABRG2', 'POMC', 'ALDH1A1', 'CRH', 'LNX1', 'AVP', 'GHRL', 'CYP2E1', 'PHF3', 'NPS', 'GRM5', 'GRM8', 'CLMP', 'ALDH1B1', 'ALDH2', 'GRM7', 'CNR1', 'EP300', 'NPY', 'Na']
Alcoholic cardiomyopathy	['HSA-MIR-548C-3P', 'HSA-MIR-485-5P', 'HSA-MIR-548A-5P', 'SOAT2', 'TNXB', 'HSA-MIR-512-3P', 'HSA-MIR-4262', 'Na']
Alexander disease	['GLIPR2', 'BFSP2', 'HSPB2-C11ORF52', 'HSPB3', 'PLEC', 'MAP3K13', 'Na']
Alexithymia	['TMEM88B', 'CRLF1', 'TP53AIP1', 'WNT10A', 'AVEN', 'SMOC1', 'PIR', 'LTBP3', 'KCNK17', 'DRD2', 'SRSF10', 'CCT7', 'Na']
Allan-Herndon-Dudley syndrome	['MPP3', 'SLCO1C1', 'SLC16A2', 'DACH2', 'ZMYM3', 'SLC7A8', 'LHX1', 'THRSP', 'SLC16A10', 'ZNF711', 'Na']
Allergic hypersensitivity disease	['TGFB1', 'MGEA5', 'IL4R', 'CD300A', 'CMA1', 'SHPK', 'SPICE1', 'TRPV1', 'FOXP3', 'CD4', 'FANCD2', 'TNFSF4', 'RHNO1', 'CD86', 'VIT', 'EHF', 'CSF2', 'CD80', 'GHITM', 'TNF', 'LOXL1', 'EPX', 'CYSLTR1', 'ALOX5', 'TBX21', 'STAT6', 'FLNC', 'TSLP', 'FANCA', 'FANCC', 'FANCG', 'HSPG2', 'ATP4A', 'CD8A', 'SERPING1', 'LALBA', 'PDCL', 'SMS', 'RCOR1', 'PVALB', 'FLG', 'DPT', 'KANTR', 'COPS7A', 'GATA3', 'ATP12A', 'MCHR2', 'ICAM1', 'TMEM189', 'CD79A', 'LGALS3', 'SCP2', 'CD19', 'CCL26', 'LYN', 'CCL24', 'ACE', 'IL10', 'CCL22', 'PHF11', 'GKN2', 'IL13', 'TRPA1', 'IL18', 'IL3', 'IL2', 'TLR2', 'IL5', 'IL1B', 'IL4', 'FCGR2B', 'IL6', 'IL9', 'ITGAE', 'IL8', 'ALB', 'IFNG', 'TLR9', 'TLR7', 'MS4A2', 'TLR4', 'FCER2', 'ALK', 'PTPRU', 'PTGDR2', 'DDX41', 'KNG1', 'FAM188A', 'HRH1', 'HRH4', 'CTLA4', 'FCER1A', 'TAC1', 'NPSR1', 'CCR3', 'PPP1R14A', 'IL33', 'IL31', 'SYK', 'TIMD4', 'RNASE3', 'NGF', 'RNASE2', 'IL17A', 'POMC', 'SMOC1', 'C3W5P5', 'CD40LG', 'TPT1', 'CD63', 'CCL11', 'HDC', 'TH1L', 'WAS', 'KIAA0101', 'INS', 'PDC', 'IL1RL1', 'NPS', 'CCL5', 'ENPP3', 'ITGAX', 'CCL17', 'Na']
Allergic rhinitis	['C11ORF30', 'DNAH5', 'TSLP', 'ENTPD6', 'TMEM108', 'HLA-DQB1', 'CROCC', 'CLEC16A', 'EPS15', 'SLC25A46', 'IL2', 'GLI3', 'Na']
Alopecia	['MBTPS2', 'VDR', 'GSDMA', 'TXNL1', 'KRT14', 'CNFN', 'FOXN1', 'POMC', 'CLEC2A', 'CD4', 'KRT15', 'GJB6', 'RIN2', 'TOP1', 'SHBG', 'RBM28', 'ZNF397', 'KRT81', 'CSF3', 'CRISP1', 'COL17A1', 'AIRE', 'HR', 'LPP', 'HTRA1', 'SAT1', 'HOXC13', 'KRT86', 'LMNA', 'DCAF17', 'FGF7', 'KRT33B', 'ANTXR1', 'CYP27B1', 'EBP', 'ERBB2', 'LIPH', 'ALX4', 'SLC39A4', 'Na']
Alopecia areata	['PTPN2', 'HSPA1L', 'BAD', 'IL13', 'BTNL2', 'TAP2', 'IL2', 'MSH5', 'HLA-DRA', 'HLA-DQB1', 'ULBP3', 'VWA7', 'HLA-DQB2', 'DDR1', 'SLC44A4', 'TNXB', 'STX17', 'ATF6B', 'C6ORF10', 'RASAL2', 'C6ORF15', 'ERBB3', 'ADAD1', 'CTLA4', 'LY6G6C', 'HLA-DOB', 'MICA', 'HLA-DQA2', 'ICOS', 'HLA-DQA1', 'MPIG6B', 'PRRC2A', 'SUOX', 'CCDC88B', 'RPS26', 'IL2RA', 'DPCR1', 'RAET1L', 'SKIV2L', 'RAB5B', 'CFB', 'PFKFB3', 'NOTCH4', 'IL21', 'STK19', 'EHMT2', 'AGER', 'IKZF4', 'C2', 'RPS6KA4', 'APOM', 'PRDX5', 'BAG6', 'KIAA1109', 'CAMTA1', 'IER3', 'Na']
Alopecia universalis	['AR', 'SPTLC1', 'SETBP1', 'SPPL2C', 'ZNF407', 'PAX1', 'TARDBP', 'Na']
Alpers syndrome	['DGUOK', 'SLC25A4', 'NARS2', 'PARS2', 'MPV17', 'TK2', 'FARS2', 'POLG', 'DARS2', 'MT-TK', 'Na']
Alpha 1-antitrypsin deficiency	['SERPINA3', 'SERPINA1', 'TMBIM4', 'SERPINB1', 'PIM1', 'CDIPT', 'SOWAHB', 'PIGZ', 'ELANE', 'Na']
Alpha thalassemia	['DNMT3L', 'SMARCA1', 'CBX5', 'LUC7L', 'SMARCA2', 'SMARCA4', 'KRT40', 'Na']
Alport syndrome	['COL4A3', 'COL4A5', 'COL4A4', 'MYH9', 'KCNE1L', 'Na']
Alstrom syndrome	['RTL1', 'DLX3', 'BBS1', 'ALMS1', 'SLC4A4', 'SLC4A5', 'Na']
Alveolar soft part sarcoma	['PSMA4', 'COG8', 'PRCC', 'MYOG', 'TFE3', 'TFEB', 'MITF', 'ASPSCR1', 'CLEC18C', 'TMED6', 'CLEC18A', 'Na']
